timestamp,symbol,direction,entry,sl,tp1,tp2,tp3,score,grade,rr,adx,rsi,rel_volume,spike_tier,mtf_status,btc_regime,rs_label,funding_pct,oi_signal,beta_label,status
2026-06-24T22:56:55.644557+00:00,GMX/USDT:USDT,SHORT,5.315,5.47822075,4.94775332,4.82533776,4.66211701,95.0,S,2.25,39.41,44.81,1.41,NORMAL,ALLOWED,BEAR,NEUTRAL,0.01,NEUTRAL,MEDIUM,SL_HIT
2026-06-24T22:56:56.120369+00:00,RDDT/USDT:USDT,SHORT,162.2,166.86428563,151.70535733,148.2071431,143.54285747,88.42,A,2.25,33.44,40.95,1.11,NORMAL,ALLOWED,BEAR,NEUTRAL,0.0,NEUTRAL,MEDIUM,SL_HIT
2026-06-25T00:15:17.393546+00:00,LYN/USDT:USDT,SHORT,0.03415,0.03537514,0.03139343,0.03047458,0.02924943,89.87,A,2.25,39.53,36.89,1.21,NORMAL,ALLOWED,BEAR,NEUTRAL,0.005,NEUTRAL,MEDIUM,SL_HIT
2026-06-25T15:47:13.818317+00:00,LUNA/USDT:USDT,SHORT,0.04745,0.04877178,0.044476,0.04348466,0.04216288,100.0,S,2.25,34.06,41.84,1.83,ELEVATED,CONFIRMED_STRONG,BEAR_CAUTION,STRONG,0.005,NEUTRAL,MEDIUM,SL_HIT
2026-06-25T15:47:14.357050+00:00,PENDLE/USDT:USDT,SHORT,1.2449,1.30138213,1.11781522,1.07545362,1.0189715,96.16,S,2.25,23.9,43.84,1.86,ELEVATED,CONFIRMED_STRONG,BEAR_CAUTION,STRONG,0.01,NEUTRAL,MEDIUM,EXPIRED
2026-06-25T15:47:14.874277+00:00,1000000MOG/USDT:USDT,SHORT,0.1019,0.1053286,0.09418566,0.09161421,0.08818561,96.79,S,2.25,23.32,41.34,1.25,NORMAL,CONFIRMED_STRONG,BEAR_CAUTION,NEUTRAL,0.005,NEUTRAL,MEDIUM,SL_HIT
2026-06-25T17:57:59.197441+00:00,JASMY/USDT:USDT,SHORT,0.004392,0.00453835,0.00406271,0.00395295,0.0038066,85.26,A,2.25,21.32,41.14,1.04,NORMAL,ALLOWED,BEAR_CAUTION,STRONG,-0.0192,NEUTRAL,MEDIUM,SL_HIT
2026-06-25T17:57:59.721007+00:00,QQQ/USDT:USDT,SHORT,718.03,728.26512775,695.00096257,687.32461676,677.08948902,89.48,A,2.25,26.53,43.45,1.15,NORMAL,ALLOWED,BEAR_CAUTION,STRONG,0.007,NEUTRAL,LOW,EXPIRED
2026-06-25T17:58:00.256192+00:00,TAO/USDT:USDT,SHORT,212.3,220.67856868,193.44822047,187.16429395,178.78572527,77.47,B,2.25,22.27,39.05,1.45,NORMAL,ALLOWED,BEAR_CAUTION,NEUTRAL,0.005,NEUTRAL,MEDIUM,EXPIRED
2026-06-25T20:07:36.182290+00:00,ACX/USDT:USDT,SHORT,0.03856,0.03906134,0.03743198,0.03705598,0.03655463,94.54,A,2.25,24.84,39.1,1.42,NORMAL,CONFIRMED_STRONG,BEAR_CAUTION,STRONG,0.005,NEUTRAL,LOW,SL_HIT
